sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
1,0.5,1,9.9447472843297e-05,0.0496386914073118,0.000100011873150487,0.011873150486541,0.0498764662908217,0.247067418356572,0,PASS,analog_only
1,0.5,2,9.92223850485532e-05,0.0496592419753395,9.99419348554731e-05,0.0580651445269309,0.0499388346170505,0.12233076589907,0,PASS,analog_only
1,0.5,3,9.87287949805964e-05,0.049063948209274,9.99507281931391e-05,0.0492718068609177,0.0499970533107564,0.0058933784872206,0,PASS,analog_only
1,0.5,4,0.000101081201507799,0.0505342266423411,9.9994245456585e-05,0.00575454341501525,0.0497475445757355,0.504910848529017,0,PASS,analog_only
1,0.5,5,9.93003671313904e-05,0.0496122009063586,0.00010006238883344,0.0623888334400524,0.0499031871826706,0.193625634658789,0,PASS,analog_only
1,0.5,6,0.000101059758323365,0.0508427640497377,9.99938327355866e-05,0.00616726441338145,0.0498354135216075,0.32917295678494,0,PASS,analog_only
1,0.5,7,0.000101402811279933,0.0496083527204046,0.000100248136257161,0.248136257161291,0.0498325448989882,0.334910202023686,0,PASS,analog_only
1,0.5,8,0.000100458542303566,0.0503061095707556,0.000100157024651476,0.157024651475823,0.0498656353038509,0.268729392298239,0,PASS,analog_only
1,0.5,9,9.9453830044689e-05,0.0506755601537171,0.000100055739420268,0.0557394202677086,0.0500014314723918,0.00286294478357707,0,PASS,analog_only
1,0.5,10,0.000101122880897239,0.049637493241338,0.000100094328337489,0.0943283374886139,0.0500185273563574,0.0370547127148013,0,PASS,analog_only
1,0.5,11,0.000101031893395403,0.0495957883420244,9.99556210929246e-05,0.0443789070753819,0.0499194201927291,0.161159614541839,0,PASS,analog_only
1,0.5,12,9.9555968715093e-05,0.0496537164457893,9.99964336656173e-05,0.0035663343826986,0.04987747496969,0.2450500606201,0,PASS,analog_only
1,0.5,13,9.83430368055438e-05,0.0490689913193635,9.98976590355649e-05,0.102340964435077,0.0499065657818021,0.186868436395859,0,PASS,analog_only
1,0.5,14,9.89102684254283e-05,0.0496000680028726,0.000100031844079317,0.0318440793167563,0.0501657902011004,0.331580402200826,0,PASS,analog_only
1,0.5,15,9.8669348127789e-05,0.0504151547047797,9.99088745678443e-05,0.0911254321556698,0.0498388209081154,0.322358183769267,0,PASS,analog_only
1,0.5,16,9.92088637019532e-05,0.0495757430961398,9.98799252595068e-05,0.120074740493181,0.0498472974490487,0.305405101902689,0,PASS,analog_only
1,0.5,17,9.8761420947759e-05,0.0496310454783229,9.99435219389494e-05,0.0564780610506133,0.0498851936227801,0.229612754439901,0,PASS,analog_only
1,0.5,18,0.000100977560414081,0.049485702281278,0.000100073616229605,0.073616229604756,0.0500503459399421,0.100691879884152,0,PASS,analog_only
1,0.5,19,0.000100927419824925,0.0496758835161867,9.9843672019475e-05,0.156327980525028,0.0500056814465995,0.0113628931990295,0,PASS,analog_only
1,0.5,20,9.90811306034058e-05,0.0496962193129292,0.000100074348063316,0.0743480633162985,0.0499837165411499,0.0325669177001942,0,PASS,analog_only
2,1,1,9.89053191433845e-05,0.049294808879336,0.000100022776927326,0.0227769273263068,0.0498339914849539,0.332017030092269,0,PASS,analog_only
